RES_LAD23CD,WORK_LAD23CD,flow
E06000002,E06000014,96
E06000002,E06000015,11
E06000002,E06000016,2
E06000002,E06000018,7
E06000002,E06000019,3
E06000002,E06000020,7
E06000002,E06000021,1
E06000002,E06000022,2
E06000002,E06000023,3
E06000002,E06000024,3
E06000002,E06000025,12
E06000002,E06000026,4
E06000002,E06000030,2
E06000002,E06000031,7
E06000002,E06000032,1
E06000002,E06000033,1
E06000002,E06000035,4
E06000002,E06000037,3
E06000002,E06000039,3
E06000002,E06000040,7
E06000002,E06000041,9
E06000002,E06000042,8
E06000002,E06000043,1
E06000002,E06000044,6
E06000002,E06000045,2
E06000002,E06000046,3
E06000002,E06000047,710
E06000002,E06000049,2
E06000002,E06000050,3
E06000002,E06000051,12
E06000002,E06000052,4
E06000002,E06000054,7
E06000002,E06000057,54
E06000002,E06000059,9
E06000002,E06000060,12
E06000002,E06000061,5
E06000002,E06000062,16
E06000002,E06000063,32
E06000002,E06000064,9
E06000002,E06000065,1765
E06000002,E06000066,7
E06000002,E07000008,1
E06000002,E07000009,5
E06000002,E07000012,7
E06000002,E07000032,4
E06000002,E07000033,1
E06000002,E07000034,3
E06000002,E07000035,1
E06000002,E07000036,2
E06000002,E07000038,2
E06000002,E07000039,1
E06000002,E07000040,1
E06000002,E07000041,1
E06000002,E07000043,2
E06000002,E07000063,1
E06000002,E07000066,2
E06000002,E07000067,1
E06000002,E07000068,1
E06000002,E07000069,1
E06000002,E07000071,5
E06000002,E07000072,1
E06000002,E07000073,3
E06000002,E07000077,3
E06000002,E07000078,5
E06000002,E07000079,2
E06000002,E07000081,1
E06000002,E07000082,1
E06000002,E07000084,5
E06000002,E07000085,1
E06000002,E07000086,4
E06000002,E07000087,1
E06000002,E07000089,3
E06000002,E07000090,1
E06000002,E07000091,4
E06000002,E07000093,1
E06000002,E07000094,1
E06000002,E07000095,1
E06000002,E07000096,2
E06000002,E07000098,3
E06000002,E07000099,1
E06000002,E07000103,1
E06000002,E07000105,1
E06000002,E07000107,7
E06000002,E07000108,1
E06000002,E07000109,1
E06000002,E07000110,1
E06000002,E07000113,1
E06000002,E07000116,1
E06000002,E07000118,2
E06000002,E07000119,8
E06000002,E07000121,1
E06000002,E07000123,8
E06000002,E07000128,1
E06000002,E07000129,2
E06000002,E07000130,5
E06000002,E07000132,1
E06000002,E07000134,5
E06000002,E07000136,1
E06000002,E07000137,10
E06000002,E07000138,5
E06000002,E07000139,2
E06000002,E07000140,1
E06000002,E07000141,1
E06000002,E07000143,4
E06000002,E07000144,1
E06000002,E07000145,8
E06000002,E07000146,2
E06000002,E07000149,3
E06000002,E07000170,1
E06000002,E07000171,12
E06000002,E07000172,5
E06000002,E07000173,1
